index,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company,Sector
0,2025-02-24 00:00:00-05:00,685.6700244492644,686.6591347238324,661.8611888382964,667.5361328125,15677000,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
1,2025-02-25 00:00:00-05:00,665.3780306420172,667.406255569748,641.2894751849396,656.9155883789062,20579700,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
2,2025-02-26 00:00:00-05:00,659.0636967789872,682.4029186886339,657.4151389833991,673.1011962890625,14488700,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
3,2025-02-27 00:00:00-05:00,681.8434098860729,688.0379111520425,656.9855198372225,657.6549072265625,12500000,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
4,2025-02-28 00:00:00-05:00,657.4550757218477,669.034800720811,642.0287972080544,667.6060791015625,17534200,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
5,2025-03-03 00:00:00-05:00,673.0811570323929,680.6444353602695,650.2614937084818,654.4677124023438,10843800,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
6,2025-03-04 00:00:00-05:00,644.9362031172728,649.1724243402481,623.0956495401799,639.4310913085938,21495200,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
7,2025-03-05 00:00:00-05:00,640.4302542191028,658.9138106981253,637.09319610967,655.886474609375,13770000,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
8,2025-03-06 00:00:00-05:00,647.4239932814962,649.9817152601623,623.5552144493282,627.371826171875,13446500,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
9,2025-03-07 00:00:00-05:00,624.8141005363861,634.2257099756501,600.0761000698269,625.1038208007812,21375700,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
10,2025-03-10 00:00:00-04:00,607.5294919896663,609.5676566741505,586.3483245399041,597.4584350585938,21999900,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
11,2025-03-11 00:00:00-04:00,594.5210719524441,614.3834063038594,592.8026300616355,605.171630859375,17401500,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
12,2025-03-12 00:00:00-04:00,629.3401130606143,632.7670568528157,608.8083309497569,619.00927734375,15747000,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
13,2025-03-13 00:00:00-04:00,619.6986550441117,619.9484328172048,585.988656544404,590.114990234375,16480300,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
14,2025-03-14 00:00:00-04:00,602.7999877929688,608.8599853515625,594.780029296875,607.5999755859375,12364500,0.525,0.0,META,"Meta Platforms, Inc.",Communication Services
15,2025-03-17 00:00:00-04:00,607.4600219726562,613.0999755859375,598.0,604.9000244140625,15473900,0.0,0.0,META,"Meta Platforms, Inc.",Communication Services
